PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
93436,20190621,TSLA,TESLA INC,221.86000,0.010199,15
93436,20190624,TSLA,TESLA INC,223.64000,0.008023,15
93436,20190625,TSLA,TESLA INC,219.75999,-0.017349,15
93436,20190626,TSLA,TESLA INC,219.27000,-0.002230,15
93436,20190627,TSLA,TESLA INC,222.84000,0.016281,15
93436,20190628,TSLA,TESLA INC,223.46001,0.002782,15
93436,20190701,TSLA,TESLA INC,227.17000,0.016602,15
93436,20190702,TSLA,TESLA INC,224.55000,-0.011533,15
93436,20190703,TSLA,TESLA INC,234.89999,0.046092,15
93436,20190705,TSLA,TESLA INC,233.10001,-0.007663,15
93436,20190708,TSLA,TESLA INC,230.34000,-0.011840,15
93436,20190709,TSLA,TESLA INC,230.06000,-0.001216,15
93436,20190710,TSLA,TESLA INC,238.92000,0.038512,15
93436,20190711,TSLA,TESLA INC,238.60001,-0.001339,15
93436,20190712,TSLA,TESLA INC,245.08000,0.027158,15
93436,20190715,TSLA,TESLA INC,253.50000,0.034356,15
93436,20190716,TSLA,TESLA INC,252.38000,-0.004418,15
93436,20190717,TSLA,TESLA INC,254.86000,0.009826,15
93436,20190718,TSLA,TESLA INC,253.53999,-0.005179,15
93436,20190719,TSLA,TESLA INC,258.17999,0.018301,15
93436,20190722,TSLA,TESLA INC,255.67999,-0.009683,15
93436,20190723,TSLA,TESLA INC,260.17001,0.017561,15
93436,20190724,TSLA,TESLA INC,264.88000,0.018104,15
93436,20190725,TSLA,TESLA INC,228.82001,-0.136137,15
93436,20190726,TSLA,TESLA INC,228.03999,-0.003409,15
93436,20190729,TSLA,TESLA INC,235.77000,0.033898,15
93436,20190730,TSLA,TESLA INC,242.25999,0.027527,15
93436,20190731,TSLA,TESLA INC,241.61000,-0.002683,15
93436,20190801,TSLA,TESLA INC,233.85001,-0.032118,15
93436,20190802,TSLA,TESLA INC,234.34000,0.002095,15
93436,20190805,TSLA,TESLA INC,228.32001,-0.025689,15
